[2023-08-21T18:00:20.329873+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:20.936965+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:24.819049+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:24.835027+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:25.575702+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:27.233260+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:28.025782+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:29.451101+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:29.669521+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:30.510295+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:33.272452+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:35.187809+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:38.117513+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:38.525761+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:38.668178+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:40.623185+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:41.867224+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:42.132426+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:43.769792+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:46.906559+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:47.131338+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:47.369838+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:49.036364+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:49.558103+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:52.874498+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:53.814508+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:53.986511+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:54.485969+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:56.532953+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:56.721231+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:59.224560+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:00:59.775579+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:00.763924+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:03.335276+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:04.371112+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:04.433270+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:06.175900+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:06.237279+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:10.475075+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:10.916533+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:11.970089+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:12.367358+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:12.688376+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:17.006584+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:19.435398+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:21.577804+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:23.776013+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:26.079063+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:28.379700+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:30.669142+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:33.014497+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:35.387374+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:37.889487+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:40.131188+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:42.667719+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:45.066006+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:47.484587+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:49.711850+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:52.018429+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:54.458500+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:56.862806+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:01:59.128130+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:01.467098+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:03.768408+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:05.989439+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:08.416945+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:10.866903+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:13.171283+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:15.628312+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:17.977277+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:20.376223+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:22.766150+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:25.117109+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:27.468619+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:29.823461+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:32.109770+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:34.459615+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:36.787217+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:39.225641+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:41.486728+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:43.733587+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:46.085185+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:48.369510+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:50.718910+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:53.076582+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:55.468113+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:02:57.734882+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:00.134914+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:02.288178+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:04.364260+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:06.441926+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:08.485026+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:10.539618+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:12.603254+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:14.689164+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:16.751636+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:18.840150+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:20.899296+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:22.974754+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:25.048979+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:27.110116+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:29.218507+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:31.289587+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:33.370030+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:35.457627+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
[2023-08-21T18:03:37.524380+02:00] LegendOfAetheria.INFO: Connection to localhost:3306 successful {"Username":"user_gamething"} []
